sailing_id,arrival_hhmm,arrival_minutes,departure_hhmm,departure_minutes,display_order,duration_min,from_port,is_active,operator,route,season,service_note,to_port,via_text,is_conditional_service,conditional_type,conditional_route
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__0750,08:05,485,07:50,470,37,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__0920,09:35,575,09:20,560,38,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1020,10:35,635,10:20,620,39,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1120,11:35,695,11:20,680,40,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1250,13:05,785,12:50,770,41,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1450,15:05,905,14:50,890,42,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1550,16:05,965,15:50,950,43,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1650,17:05,1025,16:50,1010,44,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__taketomi-port__ishigaki-port__1750,18:05,1085,17:50,1070,45,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-uehara-port__ishigaki-port__0800,08:50,530,08:00,480,46,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-uehara-port__ishigaki-port__0930,10:50,650,09:30,570,47,80,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,鳩間経由,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-uehara-port__ishigaki-port__1430,15:20,920,14:30,870,48,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-uehara-port__ishigaki-port__1745,18:35,1115,17:45,1065,49,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-uehara-port__hatoma-port__0930,10:20,620,09:30,570,50,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→鳩間,2026年4月1日〜5月10日ダイヤ,,鳩間港,,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-ohara-port__ishigaki-port__0800,08:45,525,08:00,480,51,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年4月1日〜5月10日ダイヤ,上原航路欠航時のみ運航,石垣港離島ターミナル,,yes,route_cancelled,anei-kanko__西表上原→石垣
anei-kanko__2026-04-01_2026-05-10__iriomote-ohara-port__ishigaki-port__0930,10:15,615,09:30,570,52,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年4月1日〜5月10日ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-ohara-port__ishigaki-port__1400,14:45,885,14:00,840,53,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,竹富経由,no,,
anei-kanko__2026-04-01_2026-05-10__iriomote-ohara-port__ishigaki-port__1700,17:45,1065,17:00,1020,54,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年4月1日〜5月10日ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,石垣港離島ターミナル,,no,,
